Id,IsDeleted,MasterRecordId,Name,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,BillingAddress,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,ShippingAddress,Phone,Fax,AccountNumber,Website,PhotoUrl,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Jigsaw,JigsawCompanyId,CleanStatus,AccountSource,DunsNumber,Tradestyle,NaicsCode,NaicsDesc,YearStarted,SicDesc,DandbCompanyId,OperatingHoursId,Username__c
001P000001SUJdrIAH,,,Chris Vaquerano,Customer,,6 Morningview Cir,Lake Oswego,OR,97035,USA,,,,"{""city"":""Lake Oswego"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""97035"",""state"":""OR"",""street"":""6 Morningview Cir""}",6 Morningview Cir,Lake Oswego,OR,97035,USA,,,,"{""city"":""Lake Oswego"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""97035"",""state"":""OR"",""street"":""6 Morningview Cir""}",(555) 912-3918,,,,/services/images/photo/001P000001SUJdrIAH,,,,,,,,,,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,,,,,,Pending,,,,,,,,,,chris.vaquerano
001P000001SUJdsIAH,,,Ileana Rantanen,Customer,,5167 Pauline Field,Challis,ID,83226,USA,,,,"{""city"":""Challis"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""83226"",""state"":""ID"",""street"":""5167 Pauline Field""}",5167 Pauline Field,Challis,ID,83226,USA,,,,"{""city"":""Challis"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""83226"",""state"":""ID"",""street"":""5167 Pauline Field""}",(555) 678-2813,,,,/services/images/photo/001P000001SUJdsIAH,,,,,,,,,,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,,,,,,Pending,,,,,,,,,,ileana.rantanen
001P000001SUJdtIAH,,,Tillie Speranza,Customer,,4301 West Boy Scout Blvd,Tampa,FL,33607,USA,,,,"{""city"":""Tampa"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""33607"",""state"":""FL"",""street"":""4301 West Boy Scout Blvd""}",4301 West Boy Scout Blvd,Tampa,FL,33607,USA,,,,"{""city"":""Tampa"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""33607"",""state"":""FL"",""street"":""4301 West Boy Scout Blvd""}",(555) 565-4797,,,,/services/images/photo/001P000001SUJdtIAH,,,,,,,,,,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,,,,,,Pending,,,,,,,,,,tillie.speranza
001P000001SUJduIAH,,,Althea Head,Customer,,84 Ocean Drive,Forest Home,AL,36030,USA,,,,"{""city"":""Forest Home"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""36030"",""state"":""AL"",""street"":""84 Ocean Drive""}",84 Ocean Drive,Forest Home,AL,36030,USA,,,,"{""city"":""Forest Home"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""36030"",""state"":""AL"",""street"":""84 Ocean Drive""}",(555) 480-4084,,,,/services/images/photo/001P000001SUJduIAH,,,,,,,,,,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,,,,,,Pending,,,,,,,,,,althea.head
001P000001SUJdvIAH,,,Sasha Costantini,Customer,,1012 Grand River Dr NE,Ada,MI,49301,USA,,,,"{""city"":""Ada"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""49301"",""state"":""MI"",""street"":""1012 Grand River Dr NE""}",1012 Grand River Dr NE,Ada,MI,49301,USA,,,,"{""city"":""Ada"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""49301"",""state"":""MI"",""street"":""1012 Grand River Dr NE""}",(555) 500-1851,,,,/services/images/photo/001P000001SUJdvIAH,,,,,,,,,,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,,,,,,Pending,,,,,,,,,,sasha.costantini
001P000001SUJdwIAH,,,Glen Swander,Customer,,22655 Fairfield Rd,St Augusta,MN,56301,USA,,,,"{""city"":""St Augusta"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""56301"",""state"":""MN"",""street"":""22655 Fairfield Rd""}",22655 Fairfield Rd,St Augusta,MN,56301,USA,,,,"{""city"":""St Augusta"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""56301"",""state"":""MN"",""street"":""22655 Fairfield Rd""}",(555) 934-2493,,,,/services/images/photo/001P000001SUJdwIAH,,,,,,,,,,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,,,,,,Pending,,,,,,,,,,glen.swander
001P000001SUJdxIAH,,,Gavin Poppert,Customer,,30303 SE Lusted Rd,Gresham,OR,97080,USA,,,,"{""city"":""Gresham"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""97080"",""state"":""OR"",""street"":""30303 SE Lusted Rd""}",30303 SE Lusted Rd,Gresham,OR,97080,USA,,,,"{""city"":""Gresham"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""97080"",""state"":""OR"",""street"":""30303 SE Lusted Rd""}",(555) 898-8670,,,,/services/images/photo/001P000001SUJdxIAH,,,,,,,,,,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,,,,,,Pending,,,,,,,,,,gavin.poppert
001P000001SUJdyIAH,,,Lawrence Calger,Customer,,77820 Vineyard Canyon Road,San Miguel,CA,93451,USA,,,,"{""city"":""San Miguel"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""93451"",""state"":""CA"",""street"":""77820 Vineyard Canyon Road""}",77820 Vineyard Canyon Road,San Miguel,CA,93451,USA,,,,"{""city"":""San Miguel"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""93451"",""state"":""CA"",""street"":""77820 Vineyard Canyon Road""}",(555) 844-4502,,,,/services/images/photo/001P000001SUJdyIAH,,,,,,,,,,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,,,,,,Pending,,,,,,,,,,lawrence.calger
001P000001SUJdzIAH,,,Sylvia Burleson,Customer,,4561 Springdale Rd,Millbrook,AL,36054,USA,,,,"{""city"":""Millbrook"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""36054"",""state"":""AL"",""street"":""4561 Springdale Rd""}",4561 Springdale Rd,Millbrook,AL,36054,USA,,,,"{""city"":""Millbrook"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""36054"",""state"":""AL"",""street"":""4561 Springdale Rd""}",(555) 158-7963,,,,/services/images/photo/001P000001SUJdzIAH,,,,,,,,,,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,,,,,,Pending,,,,,,,,,,sylvia.burleson
001P000001SUJe0IAH,,,Briana Lutze,Customer,,361 Centennial Parkway,Louisville,CO,80027,USA,,,,"{""city"":""Louisville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""80027"",""state"":""CO"",""street"":""361 Centennial Parkway""}",361 Centennial Parkway,Louisville,CO,80027,USA,,,,"{""city"":""Louisville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""80027"",""state"":""CO"",""street"":""361 Centennial Parkway""}",(555) 622-4283,,,,/services/images/photo/001P000001SUJe0IAH,,,,,,,,,,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,,,,,,Pending,,,,,,,,,,briana.lutze
