Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Account__c,Autopilot__c,Battery__c,Billing_Status__c,Cancelled__c,Contact_Name__c,Delivery_Date__c,Hydraulic_System__c,Interior__c,Loan_Application__c,Manufacturing_Status__c,Model__c,Owner__c,Paint__c,Payment_Type__c,Prediction_Sample__c,Price__c,Rear_Seats__c,SAP_ID__c,Self_Driving__c,Spoiler__c,Status__c,Sunroof__c,Web_ID__c,Wheels__c,Year__c
a04P0000004SgQPIA0,005P0000002j5xdIAA,,201911-00000,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJdrIAH,,75 kWh,Not Invoiced,1,Chris Vaquerano,,,Light Premium,,,Flint,003P000001FicOuIAJ,55,Cash,1,37800,1,,,,Purchase,1,,"19"" Sonic Carbon Wheels",2019
a04P0000004SgQQIA0,005P0000002j5xdIAA,,201911-00001,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJdsIAH,,75 kWh,Not Invoiced,1,Ileana Rantanen,,1,Black Premium,,,Flash,003P000001FicOvIAJ,1000,Loan,1,56100,,,,,Purchase,,,"19"" Onyx Black Spinners",2019
a04P0000004SgQRIA0,005P0000002j5xdIAA,,201911-00002,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJdtIAH,,100 kWh,Not Invoiced,,Tillie Speranza,,,Black Premium,,,Flash,003P000001FicOwIAJ,230,Loan,1,62800,1,,,,Purchase,1,,"19"" Sonic Carbon Wheels",2019
a04P0000004SgQSIA0,005P0000002j5xdIAA,,201911-00003,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJduIAH,,100P kWh,Not Invoiced,1,Althea Head,,,Black Premium,,,Flash,003P000001FicOxIAJ,130,Cash,1,63500,,,,,Purchase,1,,"19"" Sonic Carbon Wheels",2019
a04P0000004SgQTIA0,005P0000002j5xdIAA,,201911-00004,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJdvIAH,1,100 kWh,Not Invoiced,,Sasha Costantini,,,Light Premium,,,Flash,003P000001FicOyIAJ,4150,Cash,1,65000,,,,,Purchase,,,"19"" Sonic Carbon Wheels",2019
a04P0000004SgQUIA0,005P0000002j5xdIAA,,201911-00005,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJdwIAH,,75 kWh,Not Invoiced,,Glen Swander,,1,White Premium,,,Flare,003P000001FicOzIAJ,1000,Cash,1,47600,,,,,Purchase,1,,"19"" Silver Wheels",2019
a04P0000004SgQVIA0,005P0000002j5xdIAA,,201911-00006,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJdxIAH,1,75 kWh,Not Invoiced,1,Gavin Poppert,,1,Black Textile,,,Flash,003P000001FicP0IAJ,55,Loan,1,62600,,,,,Purchase,1,,"19"" Sonic Carbon Wheels",2019
a04P0000004SgQWIA0,005P0000002j5xdIAA,,201911-00007,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJdyIAH,,100 kWh,Not Invoiced,,Lawrence Calger,,,Cream Premium,,,Flare,003P000001FicP1IAJ,130,Loan,1,52800,1,,,,Purchase,1,,"19"" Sonic Carbon Wheels",2019
a04P0000004SgQXIA0,005P0000002j5xdIAA,,201911-00008,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJdzIAH,1,100 kWh,Not Invoiced,,Sylvia Burleson,,,White Premium,,,Flare,003P000001FicP2IAJ,4150,Loan,1,56300,1,,,,Purchase,,,"19"" Onyx Black Spinners",2019
a04P0000004SgQYIA0,005P0000002j5xdIAA,,201911-00009,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJe0IAH,1,75 kWh,Not Invoiced,1,Briana Lutze,,,Black Textile,,,Flint,003P000001FicP3IAJ,4150,Cash,1,41300,1,,,,Purchase,,,"19"" Onyx Black Spinners",2019
a04P0000004SgQZIA0,005P0000002j5xdIAA,,201911-00010,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJe1IAH,,100P kWh,Not Invoiced,,Madison Abplanalp,,,Black Premium,,,Flare,003P000001FicP4IAJ,230,Cash,1,52000,,,,,Purchase,,,"19"" Onyx Black Spinners",2019
a04P0000004SgQaIAK,005P0000002j5xdIAA,,201911-00011,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJe2IAH,,100 kWh,Not Invoiced,1,Tamiko Stiver,,1,White Premium,,,Flash,003P000001FicP5IAJ,230,Cash,1,62600,,,,,Purchase,1,,"19"" Onyx Black Spinners",2019
a04P0000004SgQbIAK,005P0000002j5xdIAA,,201911-00012,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJe3IAH,1,100 kWh,Not Invoiced,,Germaine Assis,,,Cream Premium,,,Flint,003P000001FicP6IAJ,55,Cash,1,46300,1,,,,Purchase,,,"19"" Sonic Carbon Wheels",2019
a04P0000004SgQcIAK,005P0000002j5xdIAA,,201911-00013,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJe4IAH,,100 kWh,Not Invoiced,,Nathanial Saltus,,,Light Premium,,,Flash,003P000001FicP7IAJ,230,Loan,1,62800,1,,,,Purchase,1,,"19"" Sonic Carbon Wheels",2019
a04P0000004SgQdIAK,005P0000002j5xdIAA,,201911-00014,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJe5IAH,,100 kWh,Not Invoiced,,Vonnie Tierman,,1,Black Premium,,,Flare,003P000001FicP8IAJ,130,Loan,1,52600,,,,,Purchase,1,,"19"" Silver Wheels",2019
a04P0000004SgQeIAK,005P0000002j5xdIAA,,201911-00015,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJe6IAH,,100 kWh,Not Invoiced,,Jocelyn Maschke,,1,Light Premium,,,Flint,003P000001FicP9IAJ,130,Cash,1,41100,,,,,Purchase,,,"19"" Onyx Black Spinners",2019
a04P0000004SgQfIAK,005P0000002j5xdIAA,,201911-00016,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJe7IAH,1,100 kWh,Not Invoiced,,Gavin Eversmann,,,Cream Premium,,,Flint,003P000001FicPAIAZ,1000,Cash,1,45000,,,,,Purchase,,,"19"" Onyx Black Spinners",2019
a04P0000004SgQgIAK,005P0000002j5xdIAA,,201911-00017,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJe8IAH,1,100P kWh,Not Invoiced,,Lesia Schulenberg,,,Cream Premium,,,Flash,003P000001FicPBIAZ,4150,Loan,1,69800,1,,,,Purchase,1,,"19"" Silver Wheels",2019
a04P0000004SgQhIAK,005P0000002j5xdIAA,,201911-00018,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJe9IAH,,75 kWh,Not Invoiced,1,Majorie Meroney,,1,Cream Premium,,,Flare,003P000001FicPCIAZ,230,Cash,1,46100,,,,,Purchase,,,"19"" Silver Wheels",2019
a04P0000004SgQiIAK,005P0000002j5xdIAA,,201911-00019,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJeAIAX,,100P kWh,Not Invoiced,1,Roselle Kleinman,,,Black Premium,,,Flash,003P000001FicPDIAZ,230,Cash,1,62000,,,,,Purchase,,,"19"" Sonic Carbon Wheels",2019
a04P0000004SgQjIAK,005P0000002j5xdIAA,,201911-00020,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJeBIAX,1,100P kWh,Not Invoiced,,Evelynn Falasco,,,Cream Premium,,,Flash,003P000001FicPEIAZ,1000,Cash,1,67000,,,,,Purchase,,,"19"" Silver Wheels",2019
a04P0000004SgQkIAK,005P0000002j5xdIAA,,201911-00021,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJeCIAX,1,100 kWh,Not Invoiced,,Victorina Racedo,,1,Black Premium,,,Flint,003P000001FicPFIAZ,0,Loan,1,47600,,,,,Purchase,1,,"19"" Sonic Carbon Wheels",2019
a04P0000004SgQlIAK,005P0000002j5xdIAA,,201911-00022,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJeDIAX,,100P kWh,Not Invoiced,,Suanne Fraklin,,,Black Premium,,,Flare,003P000001FicPGIAZ,230,Loan,1,52000,,,,,Purchase,,,"19"" Sonic Carbon Wheels",2019
a04P0000004SgQmIAK,005P0000002j5xdIAA,,201911-00023,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJeEIAX,,100 kWh,Not Invoiced,,Breanne Martindale,,1,Black Premium,,,Flare,003P000001FicPHIAZ,4150,Cash,1,52600,,,,,Purchase,1,,"19"" Silver Wheels",2019
a04P0000004SgQnIAK,005P0000002j5xdIAA,,201911-00024,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJeFIAX,,75 kWh,Not Invoiced,,Harriet Voner,,1,Cream Premium,,,Flash,003P000001FicPIIAZ,0,Loan,1,56100,,,,,Purchase,,,"19"" Sonic Carbon Wheels",2019
a04P0000004SgQoIAK,005P0000002j5xdIAA,,201911-00025,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJeGIAX,,100P kWh,Not Invoiced,,Santiago Klippel,,,Black Textile,,,Flash,003P000001FicPJIAZ,1000,Cash,1,64800,1,,,,Purchase,1,,"19"" Silver Wheels",2019
